Participant.Private.ID,Response,chat,chat_name,counterbalance,chat1_first
10269734,7694,2,Normal,A,no
10270624,4739,2,Normal,A,no
10366087,9911,2,Normal,A,no
10371835,1989,2,Normal,A,no
10348325,9701,2,Normal,A,no
10347192,5292,2,Normal,A,no
10332661,3825,2,Normal,A,no
10331151,7077,2,Normal,A,no
10319013,2327,2,Normal,A,no
10291341,6628,2,Normal,A,no
10270847,3483,2,Normal,A,no
10269598,7197,2,Normal,A,no
10269445,6331,2,Normal,A,no
10269440,2977,2,Normal,A,no
10269319,2752,2,Normal,A,no
10269277,7503,2,Normal,A,no
10269286,7695,1,Anxious,B,yes
10318720,6758,1,Anxious,B,yes
10270474,9591,1,Anxious,B,yes
10367266,3235,1,Anxious,B,yes
10269353,7305,1,Anxious,B,yes
10269450,5519,1,Anxious,B,yes
10269912,9157,1,Anxious,B,yes
10270008,5395,1,Anxious,B,yes
10288304,7281,1,Anxious,B,yes
10310934,8306,1,Anxious,B,yes
10334514,6727,1,Anxious,B,yes
10269277,3359,1,Anxious,A,no
10269319,9098,1,Anxious,A,no
10269440,9597,1,Anxious,A,no
10269445,2962,1,Anxious,A,no
10269598,3786,1,Anxious,A,no
10269734,9338,1,Anxious,A,no
10270624,4256,1,Anxious,A,no
10270847,8796,1,Anxious,A,no
10291341,1211,1,Anxious,A,no
10319013,6566,1,Anxious,A,no
10331151,5661,1,Anxious,A,no
10332661,5243,1,Anxious,A,no
10347192,9822,1,Anxious,A,no
10348325,1779,1,Anxious,A,no
10366087,4682,1,Anxious,A,no
10371835,1877,1,Anxious,A,no
10269476,7902,1,Anxious,B,no
10269900,3691,1,Anxious,B,no
10270540,1153,1,Anxious,B,no
10320108,8709,1,Anxious,B,no
10332599,9109,1,Anxious,B,no
10333977,5296,1,Anxious,B,no
10269296,3508,1,Anxious,B,no
10269413,1485,1,Anxious,B,no
10269942,1373,1,Anxious,B,no
10346871,3560,1,Anxious,B,no
10358415,4003,1,Anxious,B,no
10269314,6606,1,Anxious,A,yes
10269434,2222,1,Anxious,A,yes
10288907,9432,1,Anxious,A,yes
10317326,1756,1,Anxious,A,yes
10334394,3877,1,Anxious,A,yes
10360718,2771,1,Anxious,A,yes
10270275,7350,1,Anxious,A,yes
10270371,1958,1,Anxious,A,yes
10290591,8531,1,Anxious,A,yes
10295692,2868,1,Anxious,A,yes
10314870,3114,1,Anxious,A,yes
10333863,5108,1,Anxious,A,yes
10351970,9922,1,Anxious,A,yes
10269258,6195,1,Anxious,A,yes
10269305,9821,1,Anxious,A,yes
10269475,2246,1,Anxious,A,yes
10270100,4155,1,Anxious,A,yes
10269413,4439,2,Normal,B,no
10269476,2195,2,Normal,B,no
10269942,1760,2,Normal,B,no
10358415,9956,2,Normal,B,no
10320108,2946,2,Normal,B,no
10332599,4426,2,Normal,B,no
10333977,7439,2,Normal,B,no
10346871,6908,2,Normal,B,no
10269296,5825,2,Normal,B,no
10269900,5393,2,Normal,B,no
10270540,1531,2,Normal,B,no
10269286,6385,2,Normal,B,yes
10269353,2586,2,Normal,B,yes
10269450,2957,2,Normal,B,yes
10334514,3584,2,Normal,B,yes
10367266,7362,2,Normal,B,yes
10269912,1748,2,Normal,B,yes
10270008,1436,2,Normal,B,yes
10270474,3411,2,Normal,B,yes
10288304,2368,2,Normal,B,yes
10310934,1143,2,Normal,B,yes
10318720,8331,2,Normal,B,yes
10269305,2790,2,Normal,A,yes
10270371,8541,2,Normal,A,yes
10333863,5445,2,Normal,A,yes
10351970,7222,2,Normal,A,yes
10270100,7740,2,Normal,A,yes
10270275,9401,2,Normal,A,yes
10288907,3929,2,Normal,A,yes
10290591,1071,2,Normal,A,yes
10295692,5619,2,Normal,A,yes
10314870,4247,2,Normal,A,yes
10360718,8284,2,Normal,A,yes
10269258,4337,2,Normal,A,yes
10269314,8014,2,Normal,A,yes
10269434,6625,2,Normal,A,yes
10269475,3453,2,Normal,A,yes
10317326,4219,2,Normal,A,yes
10334394,5271,2,Normal,A,yes
