"Question","BFI_Factor","Predictor","Estimate","Std_Error","t_value","p_value"
"chat-again","extraversion","(Intercept)",1.753,0.905,1.937,0.054
"chat-again","extraversion","chatIntrovert",1.788,1.28,1.397,0.164
"chat-again","extraversion","get(bfi)",0.079,0.036,2.169,0.031
"chat-again","extraversion","chatIntrovert:get(bfi)",-0.083,0.051,-1.609,0.109
"chat-again","agreeableness","(Intercept)",3.341,0.891,3.75,0
"chat-again","agreeableness","chatIntrovert",-1.453,1.26,-1.153,0.25
"chat-again","agreeableness","get(bfi)",0.013,0.031,0.404,0.687
"chat-again","agreeableness","chatIntrovert:get(bfi)",0.043,0.044,0.962,0.337
"chat-again","conscientiousness","(Intercept)",5.162,1.241,4.159,0
"chat-again","conscientiousness","chatIntrovert",-3.925,1.755,-2.236,0.026
"chat-again","conscientiousness","get(bfi)",-0.047,0.04,-1.186,0.237
"chat-again","conscientiousness","chatIntrovert:get(bfi)",0.119,0.057,2.103,0.037
"chat-again","neuroticism","(Intercept)",3.818,0.776,4.919,0
"chat-again","neuroticism","chatIntrovert",-1.076,1.098,-0.981,0.328
"chat-again","neuroticism","get(bfi)",-0.005,0.031,-0.158,0.875
"chat-again","neuroticism","chatIntrovert:get(bfi)",0.033,0.044,0.761,0.448
"chat-again","openness","(Intercept)",2.201,0.783,2.81,0.005
"chat-again","openness","chatIntrovert",1.426,1.108,1.287,0.199
"chat-again","openness","get(bfi)",0.041,0.021,1.935,0.054
"chat-again","openness","chatIntrovert:get(bfi)",-0.046,0.03,-1.535,0.126
"different","extraversion","(Intercept)",4.859,0.897,5.416,0
"different","extraversion","chatIntrovert",-2.158,1.269,-1.701,0.091
"different","extraversion","get(bfi)",-0.085,0.036,-2.354,0.02
"different","extraversion","chatIntrovert:get(bfi)",0.098,0.051,1.934,0.055
"different","agreeableness","(Intercept)",2.246,0.891,2.52,0.013
"different","agreeableness","chatIntrovert",1.228,1.261,0.974,0.331
"different","agreeableness","get(bfi)",0.019,0.031,0.591,0.556
"different","agreeableness","chatIntrovert:get(bfi)",-0.034,0.044,-0.765,0.445
"different","conscientiousness","(Intercept)",1.002,1.239,0.808,0.42
"different","conscientiousness","chatIntrovert",2.976,1.753,1.698,0.091
"different","conscientiousness","get(bfi)",0.057,0.04,1.432,0.154
"different","conscientiousness","chatIntrovert:get(bfi)",-0.088,0.057,-1.55,0.123
"different","neuroticism","(Intercept)",2.747,0.768,3.579,0
"different","neuroticism","chatIntrovert",1.525,1.086,1.405,0.162
"different","neuroticism","get(bfi)",0.001,0.031,0.027,0.979
"different","neuroticism","chatIntrovert:get(bfi)",-0.051,0.043,-1.169,0.244
"different","openness","(Intercept)",3.943,0.781,5.051,0
"different","openness","chatIntrovert",-0.51,1.104,-0.462,0.644
"different","openness","get(bfi)",-0.032,0.021,-1.525,0.129
"different","openness","chatIntrovert:get(bfi)",0.021,0.03,0.718,0.473
"distant","extraversion","(Intercept)",4.003,0.927,4.318,0
"distant","extraversion","chatIntrovert",-1.41,1.311,-1.076,0.283
"distant","extraversion","get(bfi)",-0.06,0.037,-1.609,0.109
"distant","extraversion","chatIntrovert:get(bfi)",0.073,0.053,1.397,0.164
"distant","agreeableness","(Intercept)",1.57,0.912,1.721,0.087
"distant","agreeableness","chatIntrovert",1.827,1.29,1.416,0.158
"distant","agreeableness","get(bfi)",0.034,0.032,1.058,0.292
"distant","agreeableness","chatIntrovert:get(bfi)",-0.051,0.045,-1.114,0.267
"distant","conscientiousness","(Intercept)",1.139,1.275,0.893,0.373
"distant","conscientiousness","chatIntrovert",2.146,1.804,1.19,0.236
"distant","conscientiousness","get(bfi)",0.045,0.041,1.093,0.276
"distant","conscientiousness","chatIntrovert:get(bfi)",-0.056,0.058,-0.971,0.333
"distant","neuroticism","(Intercept)",2.473,0.792,3.121,0.002
"distant","neuroticism","chatIntrovert",0.808,1.12,0.721,0.472
"distant","neuroticism","get(bfi)",0.002,0.032,0.067,0.946
"distant","neuroticism","chatIntrovert:get(bfi)",-0.016,0.045,-0.365,0.715
"distant","openness","(Intercept)",3.881,0.799,4.855,0
"distant","openness","chatIntrovert",-0.574,1.13,-0.507,0.612
"distant","openness","get(bfi)",-0.037,0.022,-1.718,0.087
"distant","openness","chatIntrovert:get(bfi)",0.027,0.031,0.876,0.382
"enjoy","extraversion","(Intercept)",2.075,0.769,2.697,0.008
"enjoy","extraversion","chatIntrovert",1.405,1.088,1.291,0.198
"enjoy","extraversion","get(bfi)",0.075,0.031,2.42,0.016
"enjoy","extraversion","chatIntrovert:get(bfi)",-0.063,0.044,-1.453,0.148
"enjoy","agreeableness","(Intercept)",4.509,0.763,5.909,0
"enjoy","agreeableness","chatIntrovert",-1.506,1.079,-1.395,0.165
"enjoy","agreeableness","get(bfi)",-0.021,0.027,-0.781,0.436
"enjoy","agreeableness","chatIntrovert:get(bfi)",0.048,0.038,1.258,0.21
"enjoy","conscientiousness","(Intercept)",5.11,1.065,4.798,0
"enjoy","conscientiousness","chatIntrovert",-2.315,1.506,-1.537,0.126
"enjoy","conscientiousness","get(bfi)",-0.039,0.034,-1.124,0.262
"enjoy","conscientiousness","chatIntrovert:get(bfi)",0.07,0.049,1.437,0.152
"enjoy","neuroticism","(Intercept)",3.434,0.662,5.186,0
"enjoy","neuroticism","chatIntrovert",0.052,0.936,0.055,0.956
"enjoy","neuroticism","get(bfi)",0.02,0.026,0.743,0.458
"enjoy","neuroticism","chatIntrovert:get(bfi)",-0.009,0.037,-0.231,0.818
"enjoy","openness","(Intercept)",1.641,0.653,2.513,0.013
"enjoy","openness","chatIntrovert",1.708,0.924,1.849,0.066
"enjoy","openness","get(bfi)",0.062,0.018,3.533,0.001
"enjoy","openness","chatIntrovert:get(bfi)",-0.051,0.025,-2.051,0.042
"similar","extraversion","(Intercept)",0.422,0.86,0.49,0.624
"similar","extraversion","chatIntrovert",3.641,1.216,2.995,0.003
"similar","extraversion","get(bfi)",0.119,0.034,3.467,0.001
"similar","extraversion","chatIntrovert:get(bfi)",-0.153,0.049,-3.141,0.002
"similar","agreeableness","(Intercept)",4.347,0.863,5.037,0
"similar","agreeableness","chatIntrovert",-2.424,1.22,-1.986,0.048
"similar","agreeableness","get(bfi)",-0.035,0.03,-1.139,0.256
"similar","agreeableness","chatIntrovert:get(bfi)",0.081,0.043,1.889,0.06
"similar","conscientiousness","(Intercept)",6.345,1.186,5.35,0
"similar","conscientiousness","chatIntrovert",-5.468,1.677,-3.26,0.001
"similar","conscientiousness","get(bfi)",-0.096,0.038,-2.518,0.013
"similar","conscientiousness","chatIntrovert:get(bfi)",0.173,0.054,3.192,0.002
"similar","neuroticism","(Intercept)",4.131,0.749,5.514,0
"similar","neuroticism","chatIntrovert",-1.793,1.06,-1.692,0.092
"similar","neuroticism","get(bfi)",-0.031,0.03,-1.025,0.307
"similar","neuroticism","chatIntrovert:get(bfi)",0.067,0.042,1.58,0.116
"similar","openness","(Intercept)",1.715,0.757,2.267,0.024
"similar","openness","chatIntrovert",1.835,1.07,1.715,0.088
"similar","openness","get(bfi)",0.045,0.02,2.22,0.028
"similar","openness","chatIntrovert:get(bfi)",-0.054,0.029,-1.871,0.063
"understood","extraversion","(Intercept)",2.509,0.837,2.998,0.003
"understood","extraversion","chatIntrovert",1.22,1.184,1.03,0.304
"understood","extraversion","get(bfi)",0.048,0.034,1.433,0.154
"understood","extraversion","chatIntrovert:get(bfi)",-0.055,0.047,-1.17,0.244
"understood","agreeableness","(Intercept)",3.785,0.825,4.587,0
"understood","agreeableness","chatIntrovert",-0.552,1.167,-0.473,0.637
"understood","agreeableness","get(bfi)",-0.003,0.029,-0.108,0.914
"understood","agreeableness","chatIntrovert:get(bfi)",0.014,0.041,0.346,0.729
"understood","conscientiousness","(Intercept)",4.618,1.145,4.034,0
"understood","conscientiousness","chatIntrovert",-2.821,1.619,-1.743,0.083
"understood","conscientiousness","get(bfi)",-0.03,0.037,-0.809,0.419
"understood","conscientiousness","chatIntrovert:get(bfi)",0.087,0.052,1.657,0.099
"understood","neuroticism","(Intercept)",3.698,0.714,5.177,0
"understood","neuroticism","chatIntrovert",-0.466,1.01,-0.461,0.645
"understood","neuroticism","get(bfi)",0,0.028,-0.001,0.999
"understood","neuroticism","chatIntrovert:get(bfi)",0.013,0.04,0.315,0.753
"understood","openness","(Intercept)",1.864,0.713,2.613,0.01
"understood","openness","chatIntrovert",1.23,1.009,1.219,0.224
"understood","openness","get(bfi)",0.05,0.019,2.602,0.01
"understood","openness","chatIntrovert:get(bfi)",-0.038,0.027,-1.387,0.167
