"quest","effect","Std_Coefficient","Std_Coefficient_CI_low","Std_Coefficient_CI_high","p"
"chat-again","Interaction",-0.202679083735004,-0.444818712136512,0.0394605446665033,""
"chat-again","Extrovert",0.219558157044848,0.0208456731032702,0.418270640986425,"*"
"chat-again","Introvert",0.0141324148736789,-0.189529699161316,0.217794528908674,""
"different","Interaction",0.248466376700824,-0.0042118040465797,0.501144557448227,""
"different","Extrovert",-0.226221304827072,-0.424623482304327,-0.0278191273498173,"*"
"different","Introvert",0.0207258482434453,-0.182912855365006,0.224364551851897,""
"distant","Interaction",0.190627659225172,-0.0590759224115081,0.440331240861853,""
"distant","Extrovert",-0.155277984350027,-0.356489937519699,0.0459339688196454,""
"distant","Introvert",0.0361952893743925,-0.167353700115375,0.23974427886416,""
"enjoy","Interaction",-0.192357542970172,-0.451709072026489,0.0669939860861444,""
"enjoy","Extrovert",0.246428378704117,0.0490272855611704,0.443829471847063,"*"
"enjoy","Introvert",0.0556697046346672,-0.147696887977331,0.259036297246665,""
"similar","Interaction",-0.414614730547727,-0.691838803821005,-0.137390657274448,"**"
"similar","Extrovert",0.323184025752429,0.130431957683647,0.515936093821211,"**"
"similar","Introvert",-0.0795448103705872,-0.282581855290078,0.123492234548903,""
"understood","Interaction",-0.134731834479436,-0.365268690736843,0.0958050217779713,""
"understood","Extrovert",0.140365978176807,-0.0612999572711992,0.342031913624813,""
"understood","Introvert",0.00867617837996494,-0.194998610573444,0.212350967333374,""
